[16] Installing: ai-log-pattern-analyzer
Lockfile is up to date, resolution step is skipped
Progress: resolved 1, reused 0, downloaded 0, added 0
Progress: resolved 454, reused 452, downloaded 0, added 79
Progress: resolved 454, reused 452, downloaded 0, added 80
Progress: resolved 454, reused 452, downloaded 0, added 81
Progress: resolved 454, reused 452, downloaded 0, added 82
Progress: resolved 454, reused 452, downloaded 0, added 85
Progress: resolved 454, reused 452, downloaded 0, added 86
Progress: resolved 454, reused 452, downloaded 0, added 87
Progress: resolved 454, reused 452, downloaded 0, added 88
Progress: resolved 454, reused 452, downloaded 0, added 90
Progress: resolved 454, reused 452, downloaded 0, added 91
Progress: resolved 454, reused 452, downloaded 0, added 93
Progress: resolved 454, reused 452, downloaded 0, added 94
Progress: resolved 454, reused 452, downloaded 0, added 95
Progress: resolved 454, reused 452, downloaded 0, added 96
Progress: resolved 454, reused 452, downloaded 0, added 99
Progress: resolved 454, reused 452, downloaded 0, added 102
Progress: resolved 454, reused 452, downloaded 0, added 103
Progress: resolved 454, reused 452, downloaded 0, added 105
Progress: resolved 454, reused 452, downloaded 0, added 107
Progress: resolved 454, reused 452, downloaded 0, added 108
Progress: resolved 454, reused 452, downloaded 0, added 109
Progress: resolved 454, reused 452, downloaded 0, added 111
Progress: resolved 454, reused 452, downloaded 0, added 112
Progress: resolved 454, reused 452, downloaded 0, added 113
Progress: resolved 454, reused 452, downloaded 0, added 114
Progress: resolved 454, reused 452, downloaded 0, added 116
Progress: resolved 454, reused 452, downloaded 0, added 118
Progress: resolved 454, reused 452, downloaded 0, added 120
Progress: resolved 454, reused 452, downloaded 0, added 123
Progress: resolved 454, reused 452, downloaded 0, added 125
Progress: resolved 454, reused 452, downloaded 0, added 128
Progress: resolved 454, reused 452, downloaded 0, added 130
Progress: resolved 454, reused 452, downloaded 0, added 131
Progress: resolved 454, reused 452, downloaded 0, added 135
Progress: resolved 454, reused 452, downloaded 0, added 137
Progress: resolved 454, reused 452, downloaded 0, added 138
Progress: resolved 454, reused 452, downloaded 0, added 141
Progress: resolved 454, reused 452, downloaded 0, added 143
Progress: resolved 454, reused 452, downloaded 0, added 144
Progress: resolved 454, reused 452, downloaded 0, added 146
Progress: resolved 454, reused 452, downloaded 0, added 150
Progress: resolved 454, reused 452, downloaded 0, added 151
Progress: resolved 454, reused 452, downloaded 0, added 155
Progress: resolved 454, reused 452, downloaded 0, added 159
Progress: resolved 454, reused 452, downloaded 0, added 161
Progress: resolved 454, reused 452, downloaded 0, added 164
Progress: resolved 454, reused 452, downloaded 0, added 166
Progress: resolved 454, reused 453, downloaded 0, added 166
Progress: resolved 454, reused 453, downloaded 0, added 170
Progress: resolved 454, reused 453, downloaded 0, added 172
Progress: resolved 454, reused 453, downloaded 0, added 175
Progress: resolved 454, reused 453, downloaded 0, added 176
Progress: resolved 454, reused 453, downloaded 0, added 179
Progress: resolved 454, reused 454, downloaded 0, added 182
Progress: resolved 454, reused 454, downloaded 0, added 187
Progress: resolved 454, reused 454, downloaded 0, added 190
Progress: resolved 454, reused 454, downloaded 0, added 200
Progress: resolved 454, reused 454, downloaded 0, added 216
Progress: resolved 454, reused 454, downloaded 0, added 219
Progress: resolved 454, reused 454, downloaded 0, added 228
Progress: resolved 454, reused 454, downloaded 0, added 234
Progress: resolved 454, reused 454, downloaded 0, added 236
Progress: resolved 454, reused 454, downloaded 0, added 241
Progress: resolved 454, reused 454, downloaded 0, added 246
Progress: resolved 454, reused 454, downloaded 0, added 253
Progress: resolved 454, reused 454, downloaded 0, added 257
Progress: resolved 454, reused 454, downloaded 0, added 259
Progress: resolved 454, reused 454, downloaded 0, added 262
Progress: resolved 454, reused 454, downloaded 0, added 265
Progress: resolved 454, reused 454, downloaded 0, added 266
Progress: resolved 454, reused 454, downloaded 0, added 267
Progress: resolved 454, reused 454, downloaded 0, added 268
Progress: resolved 454, reused 454, downloaded 0, added 269
Progress: resolved 454, reused 454, downloaded 0, added 270
Progress: resolved 454, reused 454, downloaded 0, added 271
Progress: resolved 454, reused 454, downloaded 0, added 272
Progress: resolved 454, reused 454, downloaded 0, added 273
Progress: resolved 454, reused 454, downloaded 0, added 274
Progress: resolved 454, reused 454, downloaded 0, added 276
Progress: resolved 454, reused 454, downloaded 0, added 277
Progress: resolved 454, reused 454, downloaded 0, added 278
Progress: resolved 454, reused 454, downloaded 0, added 279
Progress: resolved 454, reused 454, downloaded 0, added 281
Progress: resolved 454, reused 454, downloaded 0, added 282
Progress: resolved 454, reused 454, downloaded 0, added 283
Progress: resolved 454, reused 454, downloaded 0, added 285
Progress: resolved 454, reused 454, downloaded 0, added 288
Progress: resolved 454, reused 454, downloaded 0, added 292
Progress: resolved 454, reused 454, downloaded 0, added 295
Progress: resolved 454, reused 454, downloaded 0, added 300
Progress: resolved 454, reused 454, downloaded 0, added 301
Progress: resolved 454, reused 454, downloaded 0, added 303
Progress: resolved 454, reused 454, downloaded 0, added 304
Progress: resolved 454, reused 454, downloaded 0, added 306
Progress: resolved 454, reused 454, downloaded 0, added 307
Progress: resolved 454, reused 454, downloaded 0, added 308
Progress: resolved 454, reused 454, downloaded 0, added 309
Progress: resolved 454, reused 454, downloaded 0, added 313
Progress: resolved 454, reused 454, downloaded 0, added 314
Progress: resolved 454, reused 454, downloaded 0, added 317
Progress: resolved 454, reused 454, downloaded 0, added 319
Progress: resolved 454, reused 454, downloaded 0, added 320
Progress: resolved 454, reused 454, downloaded 0, added 321
Progress: resolved 454, reused 454, downloaded 0, added 322
Progress: resolved 454, reused 454, downloaded 0, added 324
Progress: resolved 454, reused 454, downloaded 0, added 325
Progress: resolved 454, reused 454, downloaded 0, added 326
Progress: resolved 454, reused 454, downloaded 0, added 327
Progress: resolved 454, reused 454, downloaded 0, added 328
Progress: resolved 454, reused 454, downloaded 0, added 329
Progress: resolved 454, reused 454, downloaded 0, added 330
Progress: resolved 454, reused 454, downloaded 0, added 331
Progress: resolved 454, reused 454, downloaded 0, added 332
Progress: resolved 454, reused 454, downloaded 0, added 333
Progress: resolved 454, reused 454, downloaded 0, added 334
Progress: resolved 454, reused 454, downloaded 0, added 335
Progress: resolved 454, reused 454, downloaded 0, added 336
Progress: resolved 454, reused 454, downloaded 0, added 337
Progress: resolved 454, reused 454, downloaded 0, added 338
Progress: resolved 454, reused 454, downloaded 0, added 339
Progress: resolved 454, reused 454, downloaded 0, added 340
Progress: resolved 454, reused 454, downloaded 0, added 341
Progress: resolved 454, reused 454, downloaded 0, added 342
Progress: resolved 454, reused 454, downloaded 0, added 344
Progress: resolved 454, reused 454, downloaded 0, added 345
Progress: resolved 454, reused 454, downloaded 0, added 346
Progress: resolved 454, reused 454, downloaded 0, added 347
Progress: resolved 454, reused 454, downloaded 0, added 348
Progress: resolved 454, reused 454, downloaded 0, added 349
Progress: resolved 454, reused 454, downloaded 0, added 351
Progress: resolved 454, reused 454, downloaded 0, added 352
Progress: resolved 454, reused 454, downloaded 0, added 353
Progress: resolved 454, reused 454, downloaded 0, added 354
Progress: resolved 454, reused 454, downloaded 0, added 355
Progress: resolved 454, reused 454, downloaded 0, added 356
Progress: resolved 454, reused 454, downloaded 0, added 357
Progress: resolved 454, reused 454, downloaded 0, added 358
Progress: resolved 454, reused 454, downloaded 0, added 359
Progress: resolved 454, reused 454, downloaded 0, added 360
Progress: resolved 454, reused 454, downloaded 0, added 361
Progress: resolved 454, reused 454, downloaded 0, added 362
Progress: resolved 454, reused 454, downloaded 0, added 363
Progress: resolved 454, reused 454, downloaded 0, added 364
Progress: resolved 454, reused 454, downloaded 0, added 365
Progress: resolved 454, reused 454, downloaded 0, added 366
Progress: resolved 454, reused 454, downloaded 0, added 367
Progress: resolved 454, reused 454, downloaded 0, added 368
Progress: resolved 454, reused 454, downloaded 0, added 369
Progress: resolved 454, reused 454, downloaded 0, added 370
Progress: resolved 454, reused 454, downloaded 0, added 371
Progress: resolved 454, reused 454, downloaded 0, added 372
Progress: resolved 454, reused 454, downloaded 0, added 373
Progress: resolved 454, reused 454, downloaded 0, added 374
Progress: resolved 454, reused 454, downloaded 0, added 375
Progress: resolved 454, reused 454, downloaded 0, added 376
Progress: resolved 454, reused 454, downloaded 0, added 377
Progress: resolved 454, reused 454, downloaded 0, added 378
Progress: resolved 454, reused 454, downloaded 0, added 379
Progress: resolved 454, reused 454, downloaded 0, added 380
Progress: resolved 454, reused 454, downloaded 0, added 381
Progress: resolved 454, reused 454, downloaded 0, added 382
Progress: resolved 454, reused 454, downloaded 0, added 383
Progress: resolved 454, reused 454, downloaded 0, added 384
Progress: resolved 454, reused 454, downloaded 0, added 385
Progress: resolved 454, reused 454, downloaded 0, added 386
Progress: resolved 454, reused 454, downloaded 0, added 387
Progress: resolved 454, reused 454, downloaded 0, added 388
Progress: resolved 454, reused 454, downloaded 0, added 389
Progress: resolved 454, reused 454, downloaded 0, added 391
Progress: resolved 454, reused 454, downloaded 0, added 392
Progress: resolved 454, reused 454, downloaded 0, added 393
Progress: resolved 454, reused 454, downloaded 0, added 394
Progress: resolved 454, reused 454, downloaded 0, added 395
Progress: resolved 454, reused 454, downloaded 0, added 396
Progress: resolved 454, reused 454, downloaded 0, added 397
Progress: resolved 454, reused 454, downloaded 0, added 398
Progress: resolved 454, reused 454, downloaded 0, added 399
Progress: resolved 454, reused 454, downloaded 0, added 401
Progress: resolved 454, reused 454, downloaded 0, added 402
Progress: resolved 454, reused 454, downloaded 0, added 404
Progress: resolved 454, reused 454, downloaded 0, added 405
Progress: resolved 454, reused 454, downloaded 0, added 406
Progress: resolved 454, reused 454, downloaded 0, added 407
Progress: resolved 454, reused 454, downloaded 0, added 408
Progress: resolved 454, reused 454, downloaded 0, added 411
Progress: resolved 454, reused 454, downloaded 0, added 412
Progress: resolved 454, reused 454, downloaded 0, added 413
Progress: resolved 454, reused 454, downloaded 0, added 414
Progress: resolved 454, reused 454, downloaded 0, added 415
Progress: resolved 454, reused 454, downloaded 0, added 416
Progress: resolved 454, reused 454, downloaded 0, added 417
Progress: resolved 454, reused 454, downloaded 0, added 418
Progress: resolved 454, reused 454, downloaded 0, added 419
Progress: resolved 454, reused 454, downloaded 0, added 420
Progress: resolved 454, reused 454, downloaded 0, added 421
Progress: resolved 454, reused 454, downloaded 0, added 422
Progress: resolved 454, reused 454, downloaded 0, added 424
Progress: resolved 454, reused 454, downloaded 0, added 425
Progress: resolved 454, reused 454, downloaded 0, added 426
Progress: resolved 454, reused 454, downloaded 0, added 427
Progress: resolved 454, reused 454, downloaded 0, added 428
Progress: resolved 454, reused 454, downloaded 0, added 429
Progress: resolved 454, reused 454, downloaded 0, added 431
Progress: resolved 454, reused 454, downloaded 0, added 432
Progress: resolved 454, reused 454, downloaded 0, added 433
Progress: resolved 454, reused 454, downloaded 0, added 434
Progress: resolved 454, reused 454, downloaded 0, added 435
Progress: resolved 454, reused 454, downloaded 0, added 436
Progress: resolved 454, reused 454, downloaded 0, added 437
Progress: resolved 454, reused 454, downloaded 0, added 438
Progress: resolved 454, reused 454, downloaded 0, added 439
Progress: resolved 454, reused 454, downloaded 0, added 440
Progress: resolved 454, reused 454, downloaded 0, added 441
Progress: resolved 454, reused 454, downloaded 0, added 442
Progress: resolved 454, reused 454, downloaded 0, added 443
Progress: resolved 454, reused 454, downloaded 0, added 444
Progress: resolved 454, reused 454, downloaded 0, added 445
Progress: resolved 454, reused 454, downloaded 0, added 446
Progress: resolved 454, reused 454, downloaded 0, added 447
Progress: resolved 454, reused 454, downloaded 0, added 448
Progress: resolved 454, reused 454, downloaded 0, added 449
 ERR_PNPM_EPERM  EPERM, Permission denied: \\?\C:\Development\aucdt-utilities\ai-log-pattern-analyzer\node_modules\.pnpm\object-inspect@1.13.4\node_modules\object-inspect '\\?\C:\Development\aucdt-utilities\ai-log-pattern-analyzer\node_modules\.pnpm\object-inspect@1.13.4\node_modules\object-inspect'
