project,srs_path,score
"omniextract\\srsContent.ts","omniextract\\srsContent.ts",36
"ai-utilities\\creoai\\docs\\SRS_final.md","ai-utilities\\creoai\\docs\\SRS_final.md",35
"OOBA\\SRS_FINAL.md","OOBA\\SRS_FINAL.md",33
"ai-utilities\\patois-lyricist-v16112025-1934\\docs\\SRS_final.md","ai-utilities\\patois-lyricist-v16112025-1934\\docs\\SRS_final.md",31
"aucdt-analytics-dashboard\\docs\\IEEE_SRS_FINAL_v2.0.md","aucdt-analytics-dashboard\\docs\\IEEE_SRS_FINAL_v2.0.md",27
"ai-utilities\\ai-flyer-generator\\docs\\SRS_final.md","ai-utilities\\ai-flyer-generator\\docs\\SRS_final.md",26
"ai-utilities\\asapro-1\\docs\\SRS.md","ai-utilities\\asapro-1\\docs\\SRS.md",26
"ai-utilities\\asapro-181120250747\\docs\\SRS.md","ai-utilities\\asapro-181120250747\\docs\\SRS.md",26
"ai-utilities\\asapro18112025\\docs\\SRS.md","ai-utilities\\asapro18112025\\docs\\SRS.md",26
"ai-utilities\\asapro3\\docs\\SRS.md","ai-utilities\\asapro3\\docs\\SRS.md",26
"doculatex\\doculatex-srs.tex","doculatex\\doculatex-srs.tex",24
"ai-utilities\\asapro-1\\docs\\SRS_PART2.md","ai-utilities\\asapro-1\\docs\\SRS_PART2.md",23
"ai-utilities\\asapro-181120250747\\docs\\SRS_PART2.md","ai-utilities\\asapro-181120250747\\docs\\SRS_PART2.md",23
"ai-utilities\\asapro-v3\\docs\\SRS_PART2.md","ai-utilities\\asapro-v3\\docs\\SRS_PART2.md",23
"ai-utilities\\asapro18112025\\docs\\SRS_PART2.md","ai-utilities\\asapro18112025\\docs\\SRS_PART2.md",23
"ai-utilities\\asapro3\\docs\\SRS_PART2.md","ai-utilities\\asapro3\\docs\\SRS_PART2.md",23
"ai-utilities\\asapro6\\docs\\SRS_PART2.md","ai-utilities\\asapro6\\docs\\SRS_PART2.md",23
"lecturer-assessment-system\\SRS.md","lecturer-assessment-system\\SRS.md",23
"ai-utilities\\biochemai-v151120252049\\components\\docs\\SrsContent.tsx","ai-utilities\\biochemai-v151120252049\\components\\docs\\SrsContent.tsx",22
"ai-utilities\\clipai\\docs\\srs_v2.md","ai-utilities\\clipai\\docs\\srs_v2.md",22
"ai-utilities\\dmcdai_-ai-in-digital-media-and-communication-design\\docs\\SRS.md","ai-utilities\\dmcdai_-ai-in-digital-media-and-communication-design\\docs\\SRS.md",22
"rophe-specialist-care-rpms\\docs\\SRS.md","rophe-specialist-care-rpms\\docs\\SRS.md",22
"rophe-specialist-care-rpms-final\\docs\\SRS.md","rophe-specialist-care-rpms-final\\docs\\SRS.md",22
"ai-utilities\\ai-scene-visualizer\\docs\\SRS.md","ai-utilities\\ai-scene-visualizer\\docs\\SRS.md",20
"timetable-management-system\\srs-v2.tex","timetable-management-system\\srs-v2.tex",20
"patois-lyricist-v1.6-(dictionary-overhaul) (1)\\docs\\SRS_final.md","patois-lyricist-v1.6-(dictionary-overhaul) (1)\\docs\\SRS_final.md",19
"ai-utilities\\ai-flyer-generator\\docs\\SRS_current_state.md","ai-utilities\\ai-flyer-generator\\docs\\SRS_current_state.md",18
"timetable-management-system\\data\\srs.tex","timetable-management-system\\data\\srs.tex",18
"ai-utilities\\modern-product-development-lifecycle (6)\\SRS.md","ai-utilities\\modern-product-development-lifecycle (6)\\SRS.md",17
"ai-utilities\\myvbci-camper-app\\docs\\srs.md","ai-utilities\\myvbci-camper-app\\docs\\srs.md",16
"techbridge-media-club-platform\\docs\\SRS_FINAL.md","techbridge-media-club-platform\\docs\\SRS_FINAL.md",16
"techbridge-media-club-platform (1)\\docs\\SRS_FINAL.md","techbridge-media-club-platform (1)\\docs\\SRS_FINAL.md",16
"agenticai-masterclass\\SRS.md","agenticai-masterclass\\SRS.md",14
"master-thumbnail-catalog\\docs\\SRS.md","master-thumbnail-catalog\\docs\\SRS.md",13
"aurelia-v4---working-with-aurelia (1)\\docs\\SRS.md","aurelia-v4---working-with-aurelia (1)\\docs\\SRS.md",12
"ai-utilities\\asapro-1\\docs\\SRS_ASAPro_Final.md","ai-utilities\\asapro-1\\docs\\SRS_ASAPro_Final.md",11
"ai-utilities\\asapro-181120250747\\docs\\SRS_ASAPro_Final.md","ai-utilities\\asapro-181120250747\\docs\\SRS_ASAPro_Final.md",11
"ai-utilities\\asapro-v3\\docs\\SRS.md","ai-utilities\\asapro-v3\\docs\\SRS.md",11
"ai-utilities\\asapro18112025\\docs\\SRS_ASAPro_Final.md","ai-utilities\\asapro18112025\\docs\\SRS_ASAPro_Final.md",11
"ai-utilities\\asapro3\\docs\\SRS_ASAPro_Final.md","ai-utilities\\asapro3\\docs\\SRS_ASAPro_Final.md",11
"ai-utilities\\asapro6\\docs\\SRS_ASAPro_Final.md","ai-utilities\\asapro6\\docs\\SRS_ASAPro_Final.md",11
"techbridge-scholarship-portal\\docs\\SRS-TechbridgePortal-1.0.md","techbridge-scholarship-portal\\docs\\SRS-TechbridgePortal-1.0.md",11
"aucdt-analytics-dashboard\\docs\\IEEE_SRS_v1.0.md","aucdt-analytics-dashboard\\docs\\IEEE_SRS_v1.0.md",10
"patois-lyricist-v1.6-(dictionary-overhaul) (1)\\docs\\SRS_IEEE.md","patois-lyricist-v1.6-(dictionary-overhaul) (1)\\docs\\SRS_IEEE.md",10
"remix_-muniratu-portfolio\\SRS.md","remix_-muniratu-portfolio\\SRS.md",9
"techbridge-strategy-dashboard\\docs\\SRS-TechBridge-Dashboard-v1.2.md","techbridge-strategy-dashboard\\docs\\SRS-TechBridge-Dashboard-v1.2.md",9
"ai-@-techbridge\\docs\\srs.md","ai-@-techbridge\\docs\\srs.md",8
"Class4_Digital_Learning_System\\user_input_files\\SRS-Class4-Mathematics-14Section.pdf","Class4_Digital_Learning_System\\user_input_files\\SRS-Class4-Mathematics-14Section.pdf",8
"ghana-news-aggregator\\docs\\SRS_GhanaNewsAggregator_Final.md","ghana-news-aggregator\\docs\\SRS_GhanaNewsAggregator_Final.md",8
"pama-realtor\\docs\\SRS_PamaRealtor.md","pama-realtor\\docs\\SRS_PamaRealtor.md",8
"techbridge-scholarship-portal\\docs\\SRS.md","techbridge-scholarship-portal\\docs\\SRS.md",8
"ai-utilities\\asapro-v3\\docs\\SRS_ASAPro_Final.md","ai-utilities\\asapro-v3\\docs\\SRS_ASAPro_Final.md",7
"aurelia-v4---working-with-aurelia\\docs\\SRS.md","aurelia-v4---working-with-aurelia\\docs\\SRS.md",7
"fees-comparison-dashboard\\docs\\SRS_GhanaFees_Final.md","fees-comparison-dashboard\\docs\\SRS_GhanaFees_Final.md",7
"ghana-university-fees-dashboard\\docs\\SRS_GhanaFees_Final.md","ghana-university-fees-dashboard\\docs\\SRS_GhanaFees_Final.md",7
"patois-lyricist-v1.6-(dictionary-overhaul) (1)\\docs\\SRS_Patois_Lyricist_Final.md","patois-lyricist-v1.6-(dictionary-overhaul) (1)\\docs\\SRS_Patois_Lyricist_Final.md",7
"techbridge-strategy-dashboard\\docs\\SRS-TechBridge-Dashboard-v1.0.md","techbridge-strategy-dashboard\\docs\\SRS-TechBridge-Dashboard-v1.0.md",7
"veca---vermont-education-contact-aggregator\\components\\SRSDocument.tsx","veca---vermont-education-contact-aggregator\\components\\SRSDocument.tsx",7
"academic-performance-app\\docs\\SRS.md","academic-performance-app\\docs\\SRS.md",6
"ai-utilities\\aucdt-iam-system\\docs\\SRS_IAMA_Final.md","ai-utilities\\aucdt-iam-system\\docs\\SRS_IAMA_Final.md",6
"counselor-pro\\srs.tex","counselor-pro\\srs.tex",6
"expensepro---advanced-financial-tracker\\docs\\SRS.md","expensepro---advanced-financial-tracker\\docs\\SRS.md",6
"gemini-slingshot (3)\\docs\\SRS.md","gemini-slingshot (3)\\docs\\SRS.md",6
"mirror-truth---thumbnail-designer\\docs\\SRS-MirrorTruth-1.0.md","mirror-truth---thumbnail-designer\\docs\\SRS-MirrorTruth-1.0.md",6
"smartscale-ai-presentation-platform\\docs\\SRS.md","smartscale-ai-presentation-platform\\docs\\SRS.md",6
"techbridge-media-club-platform\\docs\\SRS_v1.4.md","techbridge-media-club-platform\\docs\\SRS_v1.4.md",6
"techbridge-media-club-platform (1)\\docs\\SRS_v1.4.md","techbridge-media-club-platform (1)\\docs\\SRS_v1.4.md",6
"ai-utilities\\ai-stand-up-&-workshop-prep-dashboard\\docs\\SRS.md","ai-utilities\\ai-stand-up-&-workshop-prep-dashboard\\docs\\SRS.md",5
"ai-utilities\\playgrow-–-smart-fun-for-bright-minds (1)\\docs\\SRS.md","ai-utilities\\playgrow-–-smart-fun-for-bright-minds (1)\\docs\\SRS.md",5
"aucdt-website-react\\docs\\SRS_AUCDT_Replica_Final.md","aucdt-website-react\\docs\\SRS_AUCDT_Replica_Final.md",5
"ghana-news-aggregator\\docs\\SRS.md","ghana-news-aggregator\\docs\\SRS.md",5
"techbridge-ai-workshop-flyer\\docs\\SRS-TechbridgeFlyer-1.0.md","techbridge-ai-workshop-flyer\\docs\\SRS-TechbridgeFlyer-1.0.md",5
"techbridge-product-design-6r-design-portal\\docs\\SRS-6R-Workshop-1.0.md","techbridge-product-design-6r-design-portal\\docs\\SRS-6R-Workshop-1.0.md",5
"ai-utilities\\visual-quiz-master-v1\\docs\\SRS.md","ai-utilities\\visual-quiz-master-v1\\docs\\SRS.md",4
"docujudge_20262402_1533\\docs\\SRS.md","docujudge_20262402_1533\\docs\\SRS.md",4
"doculatex\\doculatex-srs.pdf","doculatex\\doculatex-srs.pdf",4
"doculatex\\srs.pdf","doculatex\\srs.pdf",4
"gemini-slingshot (3)\\SRS.md","gemini-slingshot (3)\\SRS.md",4
"techbridge-media-club-platform\\docs\\SRS_v1.3.md","techbridge-media-club-platform\\docs\\SRS_v1.3.md",4
"techbridge-media-club-platform (1)\\docs\\SRS_v1.3.md","techbridge-media-club-platform (1)\\docs\\SRS_v1.3.md",4
"tvet-assessment-progress-dashboard\\SRS.md","tvet-assessment-progress-dashboard\\SRS.md",4
"aucdt-website-react\\SRS.md","aucdt-website-react\\SRS.md",3
"smartscale-presenter\\components\\SRSViewer.tsx","smartscale-presenter\\components\\SRSViewer.tsx",3
"techbridge-media-club-platform\\docs\\SRS_v1.2.md","techbridge-media-club-platform\\docs\\SRS_v1.2.md",3
"techbridge-media-club-platform\\docs\\SRS_v1.5.md","techbridge-media-club-platform\\docs\\SRS_v1.5.md",3
"techbridge-media-club-platform (1)\\docs\\SRS_v1.2.md","techbridge-media-club-platform (1)\\docs\\SRS_v1.2.md",3
"techbridge-media-club-platform (1)\\docs\\SRS_v1.5.md","techbridge-media-club-platform (1)\\docs\\SRS_v1.5.md",3
"techbridge-strategy-dashboard\\docs\\SRS.md","techbridge-strategy-dashboard\\docs\\SRS.md",3
"brand-guideline-checker\\components\\SrsConverter.tsx","brand-guideline-checker\\components\\SrsConverter.tsx",2
"brand-guideline-checker\\srs_document.aux","brand-guideline-checker\\srs_document.aux",2
"brand-guideline-checker\\srs_document.pdf","brand-guideline-checker\\srs_document.pdf",2
"brand-guideline-checker\\srs_document.toc","brand-guideline-checker\\srs_document.toc",2
"counselor-pro\\srs.pdf","counselor-pro\\srs.pdf",2
"dadaist-concert-visualizer\\docs\\SRS_DadaistVisualizer_Final.md","dadaist-concert-visualizer\\docs\\SRS_DadaistVisualizer_Final.md",2
"timetable-management-system\\srs-v2.aux","timetable-management-system\\srs-v2.aux",2
"timetable-management-system\\srs-v2.pdf","timetable-management-system\\srs-v2.pdf",2
"bp-bulletproof-directive-v22012026-1326\\components\\SRSModal.tsx","bp-bulletproof-directive-v22012026-1326\\components\\SRSModal.tsx",1
"dictation-app\\SRS_Branding_Update.md","dictation-app\\SRS_Branding_Update.md",1
"fashionprompt-ai\\docs\\SRS-FashionPromptAI-1.0.0.md","fashionprompt-ai\\docs\\SRS-FashionPromptAI-1.0.0.md",1
"pama-realtor\\docs\\SRS_PamaRealtor_Final.md","pama-realtor\\docs\\SRS_PamaRealtor_Final.md",1
"smartscale-ai-presentation-platform\\SRS.md","smartscale-ai-presentation-platform\\SRS.md",1
"sync-from-d-drive\\Code\\generate_srs.js","sync-from-d-drive\\Code\\generate_srs.js",1
"techbridge-media-club-platform\\docs\\SRS_v1.6.md","techbridge-media-club-platform\\docs\\SRS_v1.6.md",1
"techbridge-media-club-platform (1)\\docs\\SRS_v1.6.md","techbridge-media-club-platform (1)\\docs\\SRS_v1.6.md",1
"timetable-management-system\\srs-v2.toc","timetable-management-system\\srs-v2.toc",1
"ai-utilities\\ai-stand-up-&-workshop-prep-dashboard\\SRS.md","ai-utilities\\ai-stand-up-&-workshop-prep-dashboard\\SRS.md",0
"ai-utilities\\asapro-1\\docs\\SRS.tex","ai-utilities\\asapro-1\\docs\\SRS.tex",0
"ai-utilities\\asapro-1\\SRS.tex","ai-utilities\\asapro-1\\SRS.tex",0
"ai-utilities\\asapro-181120250747\\docs\\SRS.tex","ai-utilities\\asapro-181120250747\\docs\\SRS.tex",0
"ai-utilities\\asapro-181120250747\\SRS.tex","ai-utilities\\asapro-181120250747\\SRS.tex",0
"ai-utilities\\asapro-v3\\docs\\SRS.tex","ai-utilities\\asapro-v3\\docs\\SRS.tex",0
"ai-utilities\\asapro18112025\\docs\\SRS.tex","ai-utilities\\asapro18112025\\docs\\SRS.tex",0
"ai-utilities\\asapro18112025\\SRS.tex","ai-utilities\\asapro18112025\\SRS.tex",0
"ai-utilities\\asapro3\\docs\\SRS.tex","ai-utilities\\asapro3\\docs\\SRS.tex",0
"ai-utilities\\asapro3\\SRS.tex","ai-utilities\\asapro3\\SRS.tex",0
"ai-utilities\\asapro6\\docs\\SRS.tex","ai-utilities\\asapro6\\docs\\SRS.tex",0
"ai-utilities\\asapro6\\SRS.tex","ai-utilities\\asapro6\\SRS.tex",0
"ai-utilities\\compliance-workflow-dashboard (4)\\docs\\SRS_Compliance_Workflow_Dashboard.md","ai-utilities\\compliance-workflow-dashboard (4)\\docs\\SRS_Compliance_Workflow_Dashboard.md",0
"ai-utilities\\visual-quiz-master-v1\\docs\\SRS_final.md","ai-utilities\\visual-quiz-master-v1\\docs\\SRS_final.md",0
"ai-utilities\\visual-quiz-master-v1\\docs\\SRS_initial.md","ai-utilities\\visual-quiz-master-v1\\docs\\SRS_initial.md",0
"brand-guideline-checker\\srs_document.out","brand-guideline-checker\\srs_document.out",0
"counselor-pro\\srs.aux","counselor-pro\\srs.aux",0
"counselor-pro\\srs.out","counselor-pro\\srs.out",0
"counselor-pro\\srs.toc","counselor-pro\\srs.toc",0
"doculatex\\doculatex-srs.aux","doculatex\\doculatex-srs.aux",0
"doculatex\\doculatex-srs.fdb_latexmk","doculatex\\doculatex-srs.fdb_latexmk",0
"doculatex\\doculatex-srs.fls","doculatex\\doculatex-srs.fls",0
"doculatex\\doculatex-srs.out","doculatex\\doculatex-srs.out",0
"doculatex\\doculatex-srs.toc","doculatex\\doculatex-srs.toc",0
"doculatex\\srs.aux","doculatex\\srs.aux",0
"doculatex\\srs.fdb_latexmk","doculatex\\srs.fdb_latexmk",0
"doculatex\\srs.fls","doculatex\\srs.fls",0
"doculatex\\srs.out","doculatex\\srs.out",0
"doculatex\\srs.toc","doculatex\\srs.toc",0
"fees-comparison-dashboard\\SRS.md","fees-comparison-dashboard\\SRS.md",0
"ghana-university-fees-dashboard\\SRS.md","ghana-university-fees-dashboard\\SRS.md",0
"smartscale-ai-presentation-v1.06.12.2025.0020\\SRS.md","smartscale-ai-presentation-v1.06.12.2025.0020\\SRS.md",0
"timetable-management-system\\srs-v2.fdb_latexmk","timetable-management-system\\srs-v2.fdb_latexmk",0
"timetable-management-system\\srs-v2.fls","timetable-management-system\\srs-v2.fls",0
"timetable-management-system\\srs-v2.out","timetable-management-system\\srs-v2.out",0
"timetable-management-system\\srs.tex","timetable-management-system\\srs.tex",0
